24.1.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
24.1.2;Оснащение отделения (кабинета) соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
24.1.3;Определен порядок мероприятий по профилактике инфекционных заболеваний при проведении оперативных вмешательств, перевязок	
24.1.4;Определен порядок проведения консультаций врачами-специалистами	
24.1.5;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
24.1.6;Определен порядок (алгоритмы) оказания скорой и плановой медицинской помощи при заболеваниях челюстно-лицевой области 	
24.1.7;Оформляются протоколы хирургических вмешательств, ведется  журнал записи амбулаторных операций 	
24.1.8;Определен порядок раннего выявления предопухолевых заболеваний и ЗНО головы и шеи	
24.1.9;Определен порядок проведения рентгенологических видов исследований, порядок направления пациентов на данные исследования в другие организации здравоохранения	
24.2.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
24.2.2;Врачи-хирурги, работающие в центральных районных (городских) больницах, прошли повышение квалификации или стажировку на рабочем месте по профилю оказываемой медицинской помощи в структурном подразделении (челюстно-лицевая хирургия)	
24.2.3;Оснащение структурного подразделения медицинской техникой соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
24.2.4;Определен порядок мероприятий по профилактике инфекционных заболеваний при проведении оперативных вмешательств, перевязок	
24.2.5;Обеспечена круглосуточная работа врачей-специалистов при условии оказания экстренной специализированной помощи в структурном подразделении	
24.2.6;Определен порядок оказания стоматологической помощи пациентам, которым по состоянию здоровья она не может быть оказана в амбулаторно-поликлинических условиях (для отделений челюстно-лицевой хирургии)	
24.2.7;В структурном подразделении при выполнении хирургических вмешательств обеспечена возможность одновременного участия 2 челюстно-лицевых хирургов	
24.2.8;Обеспечена возможность проведения консультаций врачей-специалистов	
24.2.9;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
24.2.10;Протоколы хирургических вмешательств оформляются в журнале записи оперативных вмешательств в стационаре. Допускается формирование данных в информационной медицинской системе	
24.2.11;Определен порядок направления на патогистологическое исследование биопсийного материала. Ведется журнал регистрации биопсийного (операционного) материала, направляемого на патогистологическое исследование	
24.2.12;Определен порядок проведения рентгенологических видов исследований, порядок направления пациентов на данные исследования в другие организации здравоохранения	
24.2.13;Выполняются общие технические требования к зубным протезам	
