31.1.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
31.1.2;Оснащение отделения (кабинета) соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
31.1.3;Определен порядок мероприятий по профилактике инфекционных заболеваний при проведении оперативных вмешательств, перевязок	
31.1.4;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
31.1.5;Определен порядок (алгоритмы) оказания скорой и плановой медицинской помощи при хирургической патологии 	
31.1.6;Оформляются протоколы хирургических вмешательств, ведется  журнал записи амбулаторных операций 	
31.1.7;В структурном подразделении выполняется документирование результатов патогистологических исследований	
31.1.8;По результатам врачебной консультации оформляется и выдается пациенту документ с указанием клинического диагноза, рекомендаций по дальнейшему обследованию, наблюдению и лечению	
31.2.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
31.2.2;Врачи-хирурги, работающие в центральных районных больницах, прошли повышение квалификации или стажировку на рабочем месте по профилю оказываемой медицинской помощи в структурном подразделении (травматология, урология, детская хирургия, сосудистая хирургия и другие профили)	
31.2.3;Оснащение хирургического отделения и операционного блока соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
31.2.4;Определен порядок мероприятий по профилактике инфекционных заболеваний при проведении оперативных вмешательств, перевязок	
31.2.5;В организации здравоохранения определен порядок оформления контрольного перечня мер по обеспечению хирургической безопасности 	
31.2.6;Обеспечена круглосуточная работа врачей-хирургов при условии оказания экстренной специализированной помощи в структурном подразделении	
31.2.7;В структурном подразделении обеспечена возможность одновременного участия 2 врачей-хирургов при выполнении полостных хирургических вмешательств	
31.2.8;Протоколы хирургических вмешательств оформляются в журнале записи оперативных вмешательств в стационаре. Допускается формирование данных в информационной медицинской системе	
31.2.9;В структурном подразделении выполняется документирование результатов патогистологических исследований	
31.2.10;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
31.2.11;Число хирургических (ассистенций) вмешательств в год не менее 100 на одну штатную должность	
31.2.12;Доля лапароскопических вмешательств при остром аппендиците не менее 30 %, при остром холецистите не менее 70 %, при хроническом холецистите не менее 80 % (при наличии лапароскопической стойки)	
