21.1.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям
21.1.2;Определен порядок организации и проведения медицинской реабилитации. Медицинская реабилитация осуществляется в соответствии: с порядком организации и проведения медицинской реабилитации (при обслуживании взрослого населения), с порядком организации и проведения медицинской реабилитации в возрасте до 18 лет (при обслуживании детского населения), с клиническими протоколами по профилям заболеваний, состояниям, синдромам, с методами оказания медицинской помощи, соответствующими профилю оказываемой медицинской помощи, с ЛПА, регламентирующими проведение медицинской реабилитации в организации здравоохранения. Соблюдаются сроки проведения медицинской реабилитации
21.1.3;Оснащение физиотерапевтических кабинетов, зала (кабинета) ЛФК и иных кабинетов реабилитационного профиля соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой
21.1.4;Работа отделения обеспечена в сменном режиме 
21.1.5;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи
21.1.6;Утвержден перечень медицинских показаний и противопоказаний к проведению медицинской реабилитации или отдельным методам медицинской реабилитации
21.1.7;Назначение мероприятий медицинской реабилитации осуществляется с учетом медицинских показаний и медицинских противопоказаний к проведению медицинской реабилитации или отдельным методам медицинской реабилитации, проводится их своевременная коррекция (при необходимости)
21.1.8;Определен порядок работы мультидисциплинарной реабилитационной бригады (для областного и республиканского уровней)
21.1.9;Обеспечено проведение оценки степени выраженности нарушений функций органов и систем организма, оценка степени выраженности ограничений базовых категорий жизнедеятельности до начала медицинской реабилитации и после ее окончания
21.1.10;Проводится заполнение индивидуальной программы медицинской реабилитации пациента, составление плана медицинской реабилитации 
21.1.11;Осуществляется оценка эффективности медицинской реабилитации с применением стандартизованных шкал, тестов, опросников (для областного и республиканского уровней)
21.1.12;Организовано оформление по окончании курса медицинской реабилитации выписки из медицинских документов с указанием клинико-функционального диагноза, результатов и эффективности медицинской реабилитации, рекомендаций на последующий этап медицинской реабилитации (для областного и республиканского уровней)
21.1.13;Определен порядок проведения домашнего этапа медицинской реабилитации
21.2.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям
21.2.2;Определен порядок организации и проведения медицинской реабилитации. Медицинская реабилитация осуществляется в соответствии: с порядком организации и проведения медицинской реабилитации (при обслуживании взрослого населения), с порядком организации и проведения медицинской реабилитации в возрасте до 18 лет (при обслуживании детского населения), с клиническими протоколами по профилям заболеваний, состояниям, синдромам, с методами оказания медицинской помощи, соответствующими профилю оказываемой медицинской помощи, с ЛПА, регламентирующими проведение медицинской реабилитации в организации здравоохранения. Соблюдаются сроки проведения медицинской реабилитации
21.2.3;Оснащение физиотерапевтических кабинетов, зала (кабинета) ЛФК и иных кабинетов реабилитационного профиля соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой
21.2.4;Оснащение кабинета эрготерапии соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой с учетом профиля оказания медицинской помощи, либо в зале (кабинете) ЛФК имеется техническое оснащение для проведения эрготерапии (при оказании медицинской помощи пациентам неврологического, ортопедотравматологического, онкологического профилей)
21.2.5;Работа отделения обеспечена в сменном режиме. В ночное время, выходные, праздничные дни имеется возможность осмотра дежурным врачом 
21.2.6;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи
21.2.7;Назначение мероприятий медицинской реабилитации осуществляется с учетом медицинских показаний и медицинских противопоказаний к проведению медицинской реабилитации или отдельным методам медицинской реабилитации, проводится их своевременная коррекция (при необходимости)
21.2.8;Определен порядок работы мультидисциплинарной реабилитационной бригады (в организациях здравоохранения, имеющих в своем составе отделения ранней, поздней (повторной) медицинской реабилитации)
21.2.9;Обеспечено проведение оценки степени выраженности нарушений функций органов и систем организма, оценка степени выраженности ограничений базовых категорий жизнедеятельности до начала медицинской реабилитации и после ее окончания
21.2.10;Проводится заполнение индивидуальной программы медицинской реабилитации пациента, составление плана медицинской реабилитации 
21.2.11;Осуществляется оценка эффективности медицинской реабилитации с применением стандартизованных шкал, тестов, опросников 
21.2.12;Организовано оформление по окончании курса медицинской реабилитации выписного эпикриза с указанием клинико-функционального диагноза, результатов и эффективности медицинской реабилитации, рекомендаций на последующий этап медицинской реабилитации 
