30.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
30.2;Оснащение отделения (кабинета) соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
30.3;Определены минимальные требования к оснащению отделения (кабинета) функциональной диагностики согласно профилям оказываемой помощи 	
30.4;Определен порядок стерилизации и условия хранения изделий медицинского назначения	
30.5;Обеспечена круглосуточная возможность выполнения ЭКГ	
30.6;Работа структурного подразделения обеспечена в сменном режиме при оказании помощи амбулаторным пациентам	
30.7;Определен порядок проведения функциональных исследований на период отсутствия в организации здравоохранения врача-специалиста, неисправности медицинского оборудования	
30.8;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
30.9;Определен порядок проведения плановых и экстренных функциональных исследований	
30.10;Определен минимальный обязательный набор методов и методик функциональных исследований согласно профилям оказываемой помощи 	
30.11;Обеспечена возможность проведения функциональных исследований в отделении анестезиологии и реанимации в соответствии с уровнем оказания медицинской помощи в больничных организациях здравоохранения	
30.12;Определен порядок регистрации функциональных исследований и оформление протокола исследования	
30.13;Определен порядок направления на функциональные исследования и передачи результатов в другие отделения, организации здравоохранения, направившие пациентов на функциональные исследования	
