19.1.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
19.1.2;Оснащение отделения соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
19.1.3;Определен порядок приобретения, хранения, реализации, отпуска (распределения) наркотических средств и психотропных веществ в соответствии с законодательством	
19.1.4;Работа отделения обеспечена в сменном режиме 	
19.1.5;Определен порядок оказания медицинской помощи пациентам с заболеваниями психиатрического и наркологического профиля на период отсутствия в организации здравоохранения врача-психиатра-нарколога	
19.1.6;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
19.1.7;Определен порядок (алгоритмы) оказания скорой и плановой медицинской помощи при психиатрической (наркологической) патологии	
19.1.8;Определен порядок психиатрического освидетельствования граждан	
19.1.9;Определен порядок проведения медицинских осмотров пациентов врачами-психиатрами-наркологами вне организации здравоохранения: на дому, в других организациях здравоохранения	
19.1.10;Определен порядок диспансерного наблюдения при оказании психиатрической (наркологической) помощи в соответствии с законодательством в области оказания психиатрической помощи	
19.1.11;Определен порядок проведения медицинской реабилитации пациентов психиатрического (наркологического) профиля, включая несовершеннолетних, в том числе в условиях отделения дневного пребывания	
19.1.12;Определен порядок работы по профилактике суицидов в организации здравоохранения и потребления психоактивных веществ (далее – ПАВ) при оказании наркологической помощи	
19.2.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
19.2.2;Оснащение отделения соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
19.2.3;Обеспечена круглосуточная работа врачей-специалистов при условии оказания экстренной медицинской помощи в структурном подразделении. В круглосуточном режиме, в том числе в выходные, праздничные дни доступен осмотр дежурным врачом	
19.2.4;Удельный вес пациентов закрепленных территорий для организаций здравоохранения районного уровня не менее 30 %, для городского и для областного уровня - не менее 60 %	
19.2.5;Обеспечена возможность оказания анестезиолого-реанимационной помощи 	
19.2.6;Определен порядок проведения консультаций врачей-специалистов в организации здравоохранения пациентам с сопутствующей патологией	
19.2.7;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
19.2.8;Определен порядок психиатрического освидетельствования в соответствии с требованиями законодательства	
19.2.9;Определен порядок принудительной госпитализации и лечения пациентов в соответствии с требованиями законодательства	
19.2.10;Определен порядок проведения инструментальных, рентгенологических исследований 	
19.2.11;Организованно проведение электросудорожной терапии или определен порядок направления в другие организации	
19.2.12;Определен порядок проведения медицинских осмотров пациентов врачами-психиатрами-наркологами вне организации здравоохранения: на дому, в других организациях здравоохранения	
19.2.13;Определен порядок работы по профилактике суицидов в организации здравоохранения и потребления ПАВ при оказании наркологической помощи	
19.2.14;В организации здравоохранения соблюдаются права ребенка на получение безопасной и эффективной медицинской помощи, имеются условия для организации среды, дружественной детям (наличие и правильная организация игровых комнат, красочное оформление стен холлов, коридоров и другие). Организован порядок пребывания пациента с расстройствами аутистического спектра, нуждающегося в постоянной посторонней помощи или уходе	
19.2.15;Определен порядок межведомственного взаимодействия по обеспечению медицинской реабилитации пациентов наркологического профиля	
19.2.16;Определен порядок проведения медицинского блока мероприятий комплексной реабилитации несовершеннолетних наркологического профиля	
