23.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
23.2;Автомобили СМП оснащены оборудованием и средствами транспортировки пациента, необходимыми для предоставления СМП, в соответствии с утвержденным табелем оснащения	
23.3;Характеристики автомобилей СМП соответствуют классам В или С (реанимобиль), на них имеется спутниковая навигационная система и система, фиксирующая местоположение автомобиля в реальном времени. Для автотранспорта, находящегося во владении организации здравоохранения, определен порядок контроля технического состояния автомобилей СМП	
23.4;Выполняется норматив времени передачи вызова бригаде СМП	
23.5;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
23.6;Определен порядок оформления и хранения карты вызова бригады СМП	
23.7;Определен порядок медицинской транспортировки пациентов в больничные организации здравоохранения в соответствии с профилем заболевания 	
23.8;Обеспечено фиксирование (запись) номера телефона для обратной связи с вызывающим лицом, адреса вызова или адресного объекта, повода для вызова 	
23.9;Обеспечен бесперебойный обмен информацией между бригадой СМП и отделением СМП (оперативным отделом)	
23.10;Определен порядок взаимодействия отделения СМП с другими экстренными службами	
