16.1.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
16.1.2;Оснащение отделения соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
16.1.3;Определен порядок мероприятий по профилактике инфекционных заболеваний при проведении оперативных вмешательств, перевязок	
16.1.4;Работа отделения обеспечена в сменном режиме	
16.1.5;Определен порядок консультаций смежными врачами-специалистами	
16.1.6;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
16.1.7;Определен порядок (алгоритмы) оказания СМП и плановой медицинской помощи при заболеваниях заболеваний уха, носа и горла (далее – ЛОР заболевания)	
16.1.8;Определен порядок проведения базовых, обязательных и дополнительных исследований  при ЛОР заболеваниях	
16.1.9;Определен порядок проведения диагностических исследований ЛОР заболеваний методами КТ и(или) МРТ 	
16.1.10;Определен порядок проведения рентгенологических исследований ЛОР заболеваний (носоглотки, околоносовых пазух, гортани, височных костей) в соответствии с уровнем оказания медицинской помощи	
16.1.11;Определен порядок выполнения объективных методов исследования слуха (импендансометрия, тимпанометрия, отоакустическая эмиссия, запись коротколатентных слуховых вызванных потенциалов) в соответствии с уровнем оказания медицинской помощи	
16.1.12;Определен порядок выполнения субъективных методов исследования слуха (акуметрия, камертональные пробы, тональная пороговая аудиометрия) в соответствии с уровнем оказания медицинской помощи	
16.1.13;Определен порядок раннего выявления нарушений слуха у детей раннего возраста (до 1 года) 	
16.1.14;Оформляются протоколы хирургических вмешательств, ведется журнал записи амбулаторных операций 	
16.1.15;Определен порядок наблюдения пациентов после амбулаторных хирургических вмешательств, пациентов с острыми и хроническими ЛОР заболеваниями 	
16.1.16;Определен порядок раннего выявления предопухолевых заболеваний и ЗНО головы и шеи 	
16.1.17;Определен порядок сурдологопедического консультирования 	
16.1.18;Определен порядок направления на патогистологическое исследование биопсийного материала.  Ведется журнал регистрации биопсийного (операционного) материала, направляемого на патогистологическое исследование	
16.1.19;Определен порядок проведения медицинской реабилитации пациентов оториноларингологического профиля	
16.2.1;Укомплектованность структурного подразделения врачами-специалистами не менее 96 % по занятым должностям. Укомплектованность структурного подразделения медицинскими работниками, имеющими среднее специальное медицинское образование, не менее 96 % по занятым должностям	
16.2.2;Оснащение структурного подразделения соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой	
16.2.3;Определен порядок мероприятий по профилактике инфекционных заболеваний при проведении оперативных вмешательств, перевязок	
16.2.4;В организации здравоохранения определен порядок оформления контрольного перечня мер по обеспечению хирургической безопасности 	
16.2.5;Обеспечена круглосуточная работа врачей-специалистов при условии оказания экстренной специализированной помощи в структурном подразделении	
16.2.6;Обеспечена возможность проведения консультаций врачей-специалистов	
16.2.7;Медицинские работники могут продемонстрировать навыки по оказанию экстренной медицинской помощи	
16.2.8;Протоколы хирургических вмешательств оформляются в журнале записи оперативных вмешательств в стационаре. Допускается формирование данных в информационной медицинской системе	
16.2.9;Определен порядок направления на патогистологическое исследование биопсийного материала.  Ведется журнал регистрации биопсийного (операционного) материала, направляемого на патогистологическое исследование	
16.2.10;Определен порядок проведения базовых, обязательных и дополнительных исследований ЛОР заболеваниях	
16.2.11;Определен порядок проведения диагностических исследований ЛОР заболеваний методами КТ и(или) МРТ 	
16.2.12;Определен порядок проведения рентгенологических исследований носоглотки, околоносовых пазух, гортани, височных костей в соответствии с уровнем оказания медицинской помощи	
16.2.13;Определен порядок выполнения высокотехнологичных хирургических вмешательств 	
16.2.14;Определен порядок выполнения слухоулучшающих хирургических вмешательств на ухе	
16.2.15;Определен порядок медицинских осмотров врачом-отоларингологом, включающих диагностические исследования (базовые, по показаниям – обязательные и/или дополнительные), перевязок после хирургических вмешательств	
16.2.16;Показатель хирургической активности составляет не менее 50 % для районного и межрайонного уровней, не менее 65 % для областного, не менее 80 % для организаций здравоохранения республиканского уровня	
16.2.17;Показатель выполнения оперативных вмешательств детям под общим обезболиванием составляет для организаций здравоохранения районного уровня не менее 25 %, областного – не менее 70 %, республиканского – не менее 90 %	
